"";"Q1.MOTIVATION.ATTENTION.MULTIMEDIA";"Q2.MOTIVATION.ATTENTION.INTERACTIVITY";"Q3.MOTIVATION.CONFIDENCE.MULTIMEDIA";"Q4.MOTIVATION.CONFIDENCE.INTERACTIVITY";"Q5.MOTIVATION.RELEVANCE";"Q6.MOTIVATION.RELEVANCE.CURIOSITY";"Q7.MOTIVATION.RELEVANCE.REFLEXION";"Q8.MOTIVATION.SATISFACTION.MULTIMEDIA";"Q9.MOTIVATION.SATISFACTION.INTERACTIVITY";"Q10.FORMAT.COMPLETE";"Q11.FORMAT.DIDACTIC";"Q12.FORMAT.EFFECTIVE";"Q13.INTERACTIVITY.OVERLOAD.LOW";"Q14.INTERACTIVITY.OVERLOAD.HIGH";"Q15.INTERACTIVITY.SOCIAL.GLOBAL";"Q16.INTERACTIVITY.SOCIAL.PUBLIC";"Q17.INTERACTIVITY.SOCIAL.ANONIMOUS";"Q18.SOCIALMEDIA.PRIVACITY";"Q19.SOCIALMEDIA.FACEBOOK";"Q20.SOCIALMEDIA.LMS"
"26";1;1;1;2;1;1;1;1;1;3;3;2;3;1;1;3;1;2;1;2
"27";4;4;4;4;3;3;3;4;4;3;4;2;2;3;3;4;4;2;1;4
"28";4;4;3;3;4;4;4;4;4;4;4;4;3;4;4;4;4;3;3;3
"29";2;3;2;2;2;3;2;3;2;3;3;3;2;2;3;2;2;1;1;4
"30";2;3;1;1;2;2;3;1;2;3;2;4;2;2;3;2;3;1;1;4
"31";3;2;1;1;3;3;2;4;3;4;3;2;3;2;3;3;2;1;1;3
"32";3;4;3;3;4;4;4;4;4;4;4;3;3;4;3;3;4;3;3;4
"33";2;3;1;1;1;3;1;3;3;2;1;2;2;1;3;3;3;1;1;4
"34";3;3;4;4;3;2;4;3;3;3;3;3;3;4;3;3;3;3;2;3
"35";3;2;2;2;3;2;2;3;3;3;3;3;3;2;3;3;3;2;1;4
"36";3;2;2;1;1;2;3;3;3;4;2;2;4;3;3;4;4;1;1;4
"37";3;3;2;2;2;3;3;3;2;3;3;2;3;2;3;3;3;3;2;3
"38";3;2;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3
"39";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4
"40";2;3;1;1;1;2;2;1;1;2;2;3;2;3;1;1;1;1;1;4
"41";2;2;3;4;2;3;3;2;1;3;2;3;2;2;3;3;3;1;1;4
"42";2;3;1;1;2;1;1;1;3;2;1;3;2;2;1;1;1;1;1;4
"43";1;1;1;1;1;1;2;1;1;1;1;1;1;1;4;4;1;1;1;4
"44";3;2;2;2;2;2;2;2;3;3;1;3;3;3;3;3;3;3;3;2
"45";1;2;1;2;1;1;1;1;1;2;1;3;2;2;2;2;2;1;1;4
"46";1;2;2;2;2;2;1;3;3;2;3;1;3;2;4;3;4;1;2;4
"47";1;3;1;1;1;2;1;2;2;1;1;3;2;3;3;3;2;1;1;4
"48";2;3;1;1;3;2;2;3;3;3;3;3;3;2;3;3;3;1;1;4
"49";3;4;4;3;2;1;3;4;4;4;4;4;3;4;3;3;3;4;4;2
"50";2;3;1;1;1;2;3;2;3;1;3;4;2;2;1;1;1;1;1;4
"51";2;2;2;2;3;3;3;2;3;3;2;3;3;2;3;3;3;2;1;4
"52";1;2;1;1;1;2;2;2;1;2;3;1;2;3;3;3;3;1;1;4
"53";3;3;3;3;3;3;3;3;3;2;3;2;2;2;2;2;2;2;3;3
"54";4;4;3;3;3;3;4;4;3;4;3;3;4;3;3;4;3;3;4;4
"55";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"56";1;1;1;1;3;1;2;2;3;3;4;4;1;3;3;3;3;1;1;3
"57";2;2;3;3;3;2;3;2;3;3;2;3;3;2;2;2;3;2;3;3
"58";2;2;2;2;2;2;2;3;2;3;3;3;3;3;2;3;3;1;1;4
"59";2;4;2;2;3;2;3;2;3;3;2;3;2;2;3;3;3;2;1;3
"60";3;2;2;2;2;2;2;2;3;2;3;2;2;2;3;2;3;1;1;4
"61";3;3;2;3;2;3;3;3;3;2;3;2;2;2;2;2;2;2;2;4
"62";3;2;2;2;2;2;2;2;3;2;3;2;2;2;3;2;3;1;1;4
"63";3;1;4;4;3;2;3;3;2;2;2;3;3;4;4;3;4;1;1;4
"64";3;4;2;2;2;2;3;3;4;3;3;4;3;3;2;2;2;1;1;3
"65";2;3;2;2;4;2;4;2;4;3;2;3;3;2;2;1;2;1;1;4
"66";2;4;1;3;2;3;2;4;4;4;4;3;2;3;4;4;4;1;1;4
"67";2;2;1;2;3;1;2;2;2;2;2;3;2;3;2;1;2;1;1;4
"68";1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;4;1;1;4
"69";2;2;2;2;2;2;3;4;1;4;3;2;3;3;3;2;3;2;1;4
"70";1;2;1;2;1;2;3;2;1;2;1;2;2;2;1;1;1;3;1;1
"71";2;3;3;2;2;1;2;3;3;3;3;2;3;3;3;2;2;2;2;3
"72";3;2;3;3;3;2;3;3;3;2;2;3;2;3;3;3;2;1;1;4
"73";3;4;2;2;2;2;3;3;3;3;3;3;2;2;3;3;3;1;1;4
"74";2;4;3;3;3;3;2;2;3;3;2;2;3;2;2;2;2;2;1;4
"75";1;1;1;1;1;1;1;2;1;1;1;1;1;1;4;4;1;1;1;4
"76";1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;4;4;1;1;4
"77";3;1;1;1;2;1;2;4;3;4;2;1;2;1;4;4;4;1;2;4
"78";3;1;1;1;2;1;2;4;3;4;2;1;2;1;4;4;4;1;2;4
"79";4;4;3;3;2;1;2;3;2;3;3;2;1;2;2;2;1;1;2;3
