created	author	ranking	votes	viewers	annotations	ntags	scripts	sd	tags
2013-05-04 18:32:51	241	3.5	2	3	3	4	0	0.70710678118655	<span class= inlineedit-placeholder >click to:globalizacion:informativo:estadisticas
2013-05-04 21:13:43	234	3	1	10	2	4	1	0	<span class= inlineedit-placeholder >click to:h320:h323:videoconferencia
2013-05-04 22:41:55	234	5	2	8	1	7	3	0	<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to:videoconferencia:multicanal
2013-05-05 00:36:10	234	3	1	4	0	6	1	0	<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to:faster
2013-05-05 07:05:25	235	3.4	5	7	4	3	1	0.89442719099992	principio_ic:caso practico:aprendizaje colaborativo
2013-05-05 12:32:51	234	3.33333	3	7	3	2	1	0.57735026918963	<span class= inlineedit-placeholder >click to:tele_salud_medicina
2013-05-05 16:00:38	234	2.5	2	6	2	2	1	0.70710678118655	<span class= inlineedit-placeholder >click to:telepresencia
2013-05-05 17:46:51	241	4	1	6	1	1	1	0	<span class= inlineedit-placeholder >click to
2013-05-05 21:12:41	241	0	0	2	0	1	1	0	<span class= inlineedit-placeholder >click to
2013-05-05 21:44:28	238	0	0	5	0	2	1	0	<span class= inlineedit-placeholder >click to:aplicaciones web
2013-05-05 21:47:28	241	3	1	4	1	2	0	0	<span class= inlineedit-placeholder >click to:gestión
2013-05-05 21:49:35	234	3	1	4	1	4	1	0	<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to:robot
2013-05-05 23:38:50	241	2	1	4	1	2	1	0	<span class= inlineedit-placeholder >click to:gestión de aprendizaje
2013-05-06 14:51:27	241	0	0	2	0	1	0	0	<span class= inlineedit-placeholder >click to
2013-05-06 16:35:54	236	4	1	2	1	1	0	0	<span class= inlineedit-placeholder >click to
