Session	Time	Date	Author	Event	Parameter	Details
1	28	2014-02-25 16:40:10	267	eComposition	265	edit/2116
3	123	2014-02-25 16:40:11	265	aScript	326	NA
1	2	2014-02-25 16:40:12	267	eComposition	265	edit/2116
2	11	2014-02-25 16:40:12	262	eScript	324	edit
11	12	2014-02-25 16:40:14	1	vResource	1465	NA
1	2	2014-02-25 16:40:14	267	eComposition	265	edit/2116
2	62	2014-02-25 16:40:15	264	vResource	1465	NA
3	12	2014-02-25 16:40:23	265	vResource	1465	NA
3	7	2014-02-25 16:40:30	265	eScript	325	add:1465
2	22	2014-02-25 16:40:34	262	pScript	NA	NA
2	0	2014-02-25 16:40:34	262	vResource	1464	NA
2	3	2014-02-25 16:40:37	262	eScript	324	add:1464
1	34	2014-02-25 16:40:48	267	aScript	327	NA
2	15	2014-02-25 16:40:52	262	pScript	324	NA
2	0	2014-02-25 16:40:52	262	vResource	1464	NA
3	32	2014-02-25 16:41:02	265	pScript	326	NA
3	5	2014-02-25 16:41:07	265	vResource	1465	NA
3	14	2014-02-25 16:41:21	265	vResource	1465	NA
2	29	2014-02-25 16:41:21	262	vComposition	262	NA
2	16	2014-02-25 16:41:37	262	eComposition	262	delete/2112
11	86	2014-02-25 16:41:40	1	eComposition	261	add/2117
11	7	2014-02-25 16:41:47	1	eComposition	261	order
11	6	2014-02-25 16:41:53	1	eComposition	261	edit/2111
3	38	2014-02-25 16:41:59	265	awareness	NA	NA
2	33	2014-02-25 16:42:10	262	eComposition	262	add/2118
1	83	2014-02-25 16:42:11	267	eComposition	265	add/2119
2	2	2014-02-25 16:42:12	262	eComposition	262	order
11	21	2014-02-25 16:42:14	1	eComposition	261	edit/2107
3	22	2014-02-25 16:42:21	265	vComposition	263	NA
1	14	2014-02-25 16:42:25	267	eComposition	265	edit/2119
1	6	2014-02-25 16:42:31	267	eComposition	265	add/2120
2	27	2014-02-25 16:42:39	262	eComposition	262	edit/2118
11	42	2014-02-25 16:42:56	1	eComposition	261	edit/2117
1	36	2014-02-25 16:43:07	267	eComposition	265	edit/2120
2	40	2014-02-25 16:43:19	262	eComposition	262	add/2121
2	185	2014-02-25 16:43:20	264	eComposition	264	add/2122
2	4	2014-02-25 16:43:24	264	eComposition	264	delete/2122
3	65	2014-02-25 16:43:26	265	vComposition	263	NA
2	8	2014-02-25 16:43:27	262	eComposition	262	order
2	2	2014-02-25 16:43:29	262	eComposition	262	delete/2108
2	7	2014-02-25 16:43:36	262	eComposition	262	add/2123
2	21	2014-02-25 16:43:45	264	eComposition	264	add/2124
3	25	2014-02-25 16:43:51	265	vComposition	265	NA
11	59	2014-02-25 16:43:55	1	eComposition	261	edit/2117
